Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $)
1995,1,296.9,466.98
1995,2,296.8,463.46
1995,3,287.51,446.91
1995,4,287.78,446.44
1996,1,283.97,434.31
1996,2,275.78,419.09
1996,3,269.49,406.68
1996,4,278.33,417.9
1997,1,283.4,421.8
1997,2,289.44,429.97
1997,3,,416.98
1997,4,293.51,433.32
1998,1,304.74,447.4
1998,2,300.97,439.7
1998,3,315.25,458.88
1998,4,316.18,459.38
1999,1,331.74,478.78
1999,2,329.34,471.87
1999,3,317.22,449.92
1999,4,317.93,449.85
2000,1,340.23,473.24
2000,2,339.16,468.48
2000,3,336.66,461.55
2000,4,340.08,465.42
2001,1,347.69,469.89
2001,2,328.67,439.7
2001,3,303.02,404.71
2001,4,299.81,404.04
2002,1,320.02,426.21
2002,2,,420.84
2002,3,,399.04
2002,4,,406.56
2003,1,319.19,412.64
2003,2,,407.72
2003,3,312.39,
2003,4,315.77,
2004,1,320.23,
2004,2,309.45,388.45
2004,3,296.54,371.85
2004,4,297.28,372
2005,1,,
2005,2,306.68,375.48
2005,3,305.91,366.43
2005,4,,
2006,1,323.34,385.37
2006,2,341.58,400.9
2006,3,330.12,387.45
2006,4,318.16,375.44
2007,1,317.84,368.58
2007,2,325.39,371.89
2007,3,327.56,374.13
2007,4,329.77,373.88
2008,1,333.29,371.7
2008,2,,377.63
2008,3,358.93,390.67
2008,4,345.42,391.27
2009,1,313.82,351.32
2009,2,301.82,333.22
2009,3,306.95,338.45
2009,4,319.85,352.71
2010,1,328.12,359.02
2010,2,340.72,
2010,3,339.71,370.34
2010,4,,363.73
2011,1,355.72,379.06
2011,2,369.68,390
2011,3,360.74,378.62
2011,4,368.39,388.72
2012,1,372.83,387.03
2012,2,384.67,399.17
2012,3,366.97,377.63
2012,4,374.23,388.13
2013,1,377.93,
2013,2,378,385.49
2013,3,390.04,396.67
2013,4,,390.38
2014,1,382.15,385.13
2014,2,395.62,395.27
2014,3,396.37,
2014,4,392.66,398.22
2015,1,388.32,391.63
2015,2,385.91,385.09
2015,3,371.72,372.01
2015,4,362.56,365.02
2016,1,361.2,361.2
